0,0.47,0.48,0.13,3.95,-2.75,-23.28,-2.23,0.23,-1.06,-0.21,-12.4,5.69,0.35,0.68,-0.52,-4.44,-13.86,28.51,1.01,-0.98,-0.58,10.98,22.23,8.89
0.009,0.07,0.78,0.23,1.5,-1.33,-23.89,-3.03,0.13,-1.29,0.91,-12.43,1.23,0.35,0.68,-0.52,-3.41,-15.13,26.62,0.99,-1.63,-0.65,10.09,21.45,9.77
0.019,0.01,1.21,0.26,-0.97,-0.31,-21.02,-3.24,-0.38,-1.54,8.61,-15.03,-39.22,1.17,0.56,-0.64,-1.73,-14.53,23,0.86,-2.67,-0.59,8.21,18,10.47
0.029,-0.15,2.1,0.14,-4.86,0.15,16.81,-2.12,-1.31,-1.55,26.6,3.51,-39.08,2.16,0.49,-0.65,-1.72,-11.63,10.85,0.71,-3.62,-0.43,9.93,13.27,6.17
0.039,0.25,2.92,-0.07,-2.8,-0.82,17.18,-1.11,-1.05,-0.38,35.11,32.84,-6.82,3.08,0.6,-0.5,-4.69,-10.77,3.3,0.9,-3.55,-0.39,12.27,4.94,-3.13
0.048,0.55,3.26,-0.31,-9.09,-10.25,-8.71,-1.18,0.85,-0.13,-4.4,-0.94,13.71,3.55,0.89,-0.33,-9.13,-10.69,-4.8,1.54,-2.21,-0.49,11.81,-1.9,-13.76
0.059,-0.55,2.98,-0.37,-22.29,-16.79,7.34,-0.48,1.17,-1.07,-2.18,9.05,-7.61,3.33,1.55,-0.27,-15.01,-9.89,-12.26,2.04,-0.86,-0.61,3.51,-3.28,-14.68
0.069,-0.88,2.06,-0.04,-23.26,-20.94,20.12,-0.2,0.3,-1.13,9.47,33.43,5.82,2.33,2.25,-0.11,-11.85,-5.34,-22.73,1.83,-0.58,-0.71,1.37,-6.55,-11.47
0.079,-0.04,1.35,0.17,-15.06,-15.65,17.47,-1.07,-0.74,-0.08,10.81,20.47,11.19,1.4,2.02,0.48,-7.71,-6.53,-22.96,1.2,-0.62,-0.52,3.25,-11.4,-4.28
0.089,-0.36,0.78,0.31,-12.97,-7,25.52,-0.35,-0.41,0.02,10.01,18.09,1.54,0.83,0.91,0.63,-3.19,-6.26,-21.84,0.81,0.07,-0.38,3.36,-12.51,-3.53
0.098,-0.95,-0.39,-0.02,-10.27,-8.22,20.45,0.29,0.11,-0.01,7.86,18.53,5.59,0.67,-0.09,0.72,-0.51,-5.57,-21.25,0.32,0.7,-0.09,-2.53,-18.01,2
0.108,-0.95,-0.39,-0.02,-13.98,-10.81,20.59,0.44,0.15,0.24,6.46,17.62,3.18,0.29,-0.94,0.75,1.25,-3.93,-27.13,0.32,0.7,-0.09,-4.48,-19.15,6.82
0.118,-1.19,-0.77,0.07,-13.97,-9.78,21.55,0.84,0.13,0.34,6.98,18.13,3.36,-0.52,-1.73,0.66,1.97,-4.36,-27.04,-1.04,1.53,0.17,-7.23,-17.4,11.18
0.129,-0.94,-1.13,0.15,-13.63,-10.75,21.06,1.23,0.17,0.42,8,20.73,5.61,-1.14,-2.16,0.47,1.97,-4.36,-27.04,-1.84,1.77,0.06,-7.13,-14.27,4.78
0.138,-0.63,-1.49,0.29,-17.4,-9.77,20.57,1.6,0.52,0.55,8.92,20.97,5.63,-1.11,-1.98,0.27,5.73,-1.75,-22.45,-2.38,2.46,0.15,-4.42,-13.06,1.96
0.148,0.02,-2.68,0.64,-17.71,-7.19,18.19,1.99,1.39,0.56,7.71,19.76,8.43,-1.38,-1.34,0.17,9.09,-2.23,-21.95,-2.64,3.62,0.34,-4.15,-10.28,0.12
0.159,0.02,-2.68,0.64,-18.59,-5.65,14.68,2.37,2.24,0.56,4.17,12.32,6.25,-2.09,-0.5,0.01,5.9,-2.23,-14.81,-2.64,3.62,0.34,-0.86,-10.65,-24.94
0.168,-0.37,-3.83,0.64,-17.15,-5.53,9.21,2.68,2.48,0.41,2.36,5.96,-1.11,-2.75,-0.15,-0.15,-2.56,-4,16.61,0.36,5.05,1.47,4.86,34.95,-38.95
0.179,-0.79,-4.02,0.6,-7.13,-10.14,-5.36,2.73,2,0.26,1.28,0.86,-9.15,-3.09,-0.65,-0.18,-2.56,-4,16.61,1.13,2.68,-0.07,-0.2,32.34,2.76
